Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Decade,Primary_Genre,Rating_Band
12 Bulbule,2021,129,"Comedy, Drama, Family",,,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit,2020,Comedy,
12 O'Clock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,2020,Horror,Average (4–6)
12 Years,,129,Biography,,,Sohail Tatari,Unknown,Unknown,Unknown,,Biography,
124a,2021,129,Documentary,,,Varrun Sukhraj,Unknown,Unknown,Unknown,2020,Documentary,
127 B,2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,2010,Comedy,Good (6–8)
13 May Gulaabi Nagar,2010,129,Action,,,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma,2010,Action,
13 Tribute of Love,2020,66,Drama,,,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt,2020,Drama,
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,2000,Drama,Good (6–8)
14 Phere,2021,129,Comedy,,,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan,2020,Comedy,
15 Park Avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,2000,Drama,Good (6–8)
150 Seconds Ago,2002,112,Unknown,,,Batul Mukhtiar,Unknown,Unknown,Unknown,2000,Unknown,
15th August,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,1990,Drama,Average (4–6)
16 December,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,2000,Action,Good (6–8)
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,2010,Action,Poor (<4)
1857,1946,129,"Drama, History",5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,1940,Drama,Average (4–6)
19 Revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,2000,Drama,Average (4–6)
1911,,129,"Drama, History, Sport",,,Nikkhil Advani,John Abraham,Unknown,Unknown,,Drama,
1920,2008,138,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,2000,Horror,Good (6–8)
1920 London,2016,120,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,2010,Horror,Average (4–6)
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,2010,Drama,Average (4–6)
1921,2018,144,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,2010,Horror,Average (4–6)
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,1990,Action,Good (6–8)
1971,2007,136,"Action, Drama, War",8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,2000,Action,Excellent (8–10)
1978: A Teen Night Out,2019,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,2010,Thriller,Poor (<4)
1982 - A Love Marriage,2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,2010,Comedy,Average (4–6)
19th January,2014,129,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,2010,Drama,Good (6–8)
2 Band Radio,2019,129,Comedy,,,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi,2010,Comedy,
2 GB Ki Life,,129,Drama,,,Unknown,Unknown,Unknown,Unknown,,Drama,
2 Little Indians,2013,129,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra,2010,Comedy,Average (4–6)
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,2010,Adventure,Good (6–8)
2 October,2003,122,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,2000,Action,Average (4–6)
2 Piece,2005,129,Drama,,,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath,2000,Drama,
2 States,2014,149,"Comedy, Drama, Romance",6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,2010,Comedy,Good (6–8)
2.0,2018,148,"Action, Sci-Fi",6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,2010,Action,Good (6–8)
2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,1990,Crime,Poor (<4)
2006 Varanasi: The Untold,2018,129,Drama,,,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan,2010,Drama,
2007 the last encounter,2018,129,Drama,,,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami,2010,Drama,
2016 the End,2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,2010,Comedy,Good (6–8)
21: Battle of Saragarhi,,129,War,,,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan,,War,
22 Days,2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,2010,Thriller,Good (6–8)
22 June 1897,1979,121,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,1970,Drama,Good (6–8)
22 Yards,2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,2010,Sport,Good (6–8)
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,2000,Biography,Average (4–6)
24 Ghante,1998,129,Thriller,,,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal,1990,Thriller,
25th July,1951,129,Unknown,7.6,5,Chitra Mitra,Unknown,Unknown,Unknown,1950,Unknown,Good (6–8)
26 January,1956,129,Unknown,6.6,7,Ramesh Saigal,Ajit,Unknown,Unknown,1950,Unknown,Good (6–8)
26th January,1956,129,Drama,,,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,1950,Drama,
26th July at Barista,2008,129,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,2000,Drama,Poor (<4)
27 Down,1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,1970,Drama,Good (6–8)
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,2010,Horror,Average (4–6)
3 Bachelors,2012,114,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,2010,Comedy,Poor (<4)
3 Days 4 Nights in Bihar,2020,129,Comedy,,,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz,2020,Comedy,
3 Deewarein,2003,115,"Crime, Drama",7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,2000,Crime,Good (6–8)
3 Dev,2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,2010,Comedy,Good (6–8)
3 Idiots,2009,170,"Comedy, Drama",8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,2000,Comedy,Excellent (8–10)
3 Nights 4 Days,2009,129,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,2000,Drama,Average (4–6)
3 Shyaane,2020,129,Comedy,,,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee,2020,Comedy,
3 Storeys,2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,2010,Drama,Good (6–8)
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,2010,Adventure,Average (4–6)
30 Days,2004,129,Horror,5.0,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,2000,Horror,Average (4–6)
30 Minutes,2016,129,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,2010,Thriller,Average (4–6)
31st October,2015,109,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,2010,Action,Average (4–6)
340,2009,129,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,2000,Thriller,Average (4–6)
36 China Town,2006,140,"Comedy, Mystery, Thriller",5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,2000,Comedy,Average (4–6)
36 Chowringhee Lane,1981,122,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,1980,Drama,Good (6–8)
36 Ghante,1974,129,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,1970,Action,Good (6–8)
376 D,2020,128,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,2020,Crime,Average (4–6)
377 AbNormal,2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,2010,Drama,Average (4–6)
3D Saamri,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,1980,Horror,Average (4–6)
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,2010,Horror,Poor (<4)
3rd EYE,2019,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,2010,Horror,Good (6–8)
3rd November,2016,129,Horror,,,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan,2010,Horror,
4 Sum,,96,"Crime, Drama, Thriller",,,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke,,Crime,
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,2010,Drama,Good (6–8)
417 Miles,2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,2010,Drama,Average (4–6)
42 Kms.,2009,129,"Drama, Sport",3.9,14,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani,2000,Drama,Poor (<4)
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,2010,Drama,Good (6–8)
4pm on the Court,2011,115,Sport,,,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma,2010,Sport,
5 Ghantey Mien 5 Crore,2012,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,2010,Thriller,Average (4–6)
5 Rifles,2001,129,Action,,,Hemant Birje,Anu Kashyap,Raza Murad,Paintal,2000,Action,
5 Rupees,2018,129,Unknown,,,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,Unknown,2010,Unknown,
50 Lakh,2007,129,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan,2000,Comedy,Good (6–8)
500 Ka Note,2002,129,Thriller,,,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan,2000,Thriller,
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan,2010,Action,Average (4–6)
6.40 PM,1967,129,Unknown,5.4,5,Mani Kaul,Unknown,Unknown,Unknown,1960,Unknown,Average (4–6)
6387 Meters Black Peak,2020,85,Documentary,,,Kovid Mittal,Kovid Mittal,Unknown,Unknown,2020,Documentary,
64 Kaam Kalayen,2002,129,Thriller,,,Hemant Birje,Ankush Mohite,Kirti Rawal,Unknown,2000,Thriller,
6-5=2,2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,2010,Horror,Average (4–6)
68 Pages,2007,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,2000,Drama,Good (6–8)
69 Opposites Attract,2011,96,Comedy,,,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,Unknown,2010,Comedy,
69 Reality in Us,,129,"Drama, Romance, Thriller",,,Samir Khan,Unknown,Unknown,Unknown,,Drama,
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,2000,Comedy,Average (4–6)
7 Bijliyaan,1988,126,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,1980,Action,Average (4–6)
7 Days,1995,129,"Action, Drama",3.4,10,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill,1990,Action,Poor (<4)
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,2010,Crime,Average (4–6)
7 Islands and a Metro,2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,2000,Documentary,Good (6–8)
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,2010,Drama,Good (6–8)
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,1980,Drama,Average (4–6)
706,2019,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,2010,Thriller,Average (4–6)
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,2010,Action,Average (4–6)
777 Charlie,,136,"Adventure, Comedy, Drama",,,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri,,Adventure,
7th Villa,2018,125,Horror,,,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit,2010,Horror,
8 PM: A Murder Mystery,2008,129,Mystery,,,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika,2000,Mystery,
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,2000,Action,Average (4–6)
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,2020,Adventure,Good (6–8)
'83,2021,150,"Biography, Drama, History",,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,2020,Biography,
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,2000,Mystery,Average (4–6)
9 O' Clock,2017,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,2010,Action,Average (4–6)
9 Roads 2 Peace,,129,Adventure,,,Virendra Rathore,Unknown,Unknown,Unknown,,Adventure,
9 to 12,2011,115,"Drama, Musical, Thriller",,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.,2010,Drama,
99,2009,135,"Comedy, Crime, Drama",7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,2000,Comedy,Good (6–8)
99 Songs,2019,128,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,2010,Musical,Good (6–8)
99.9 FM,2005,90,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,2000,Crime,Average (4–6)
A Ballad of Maladies,2016,86,"Documentary, History, Music",,,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown,2010,Documentary,
A Billion Colour Story,2016,105,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,2010,Drama,Excellent (8–10)
A Biopic from the Film Industry,2019,129,Drama,,,Sarkar Sahith,Suman Rana,Hari Vishnu,Unknown,2010,Drama,
A Call from the Past,2016,76,"Drama, Fantasy, Mystery",,,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava,2010,Drama,
A Cold Plan,2021,129,Thriller,,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj,2020,Thriller,
A Daughter's Dream,2014,129,"Drama, Family, Sport",,,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain,2010,Drama,
A Daughter's Tale PANKH,2017,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,2010,Drama,Good (6–8)
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,2010,Drama,Good (6–8)
A Dream Document,2016,70,Documentary,,,Rupak Das,Unknown,Unknown,Unknown,2010,Documentary,
A Far Afternoon: a Painted Saga by Krishen Khanna,2015,72,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,Unknown,Unknown,Unknown,2010,Documentary,Good (6–8)
A Film by Aravind,2005,150,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,2000,Horror,Good (6–8)
A Flat,2010,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,2010,Drama,Average (4–6)
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3.0,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,2010,Action,Poor (<4)
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,2020,Comedy,Good (6–8)
A Gentleman,2017,145,"Action, Comedy",6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,2010,Action,Good (6–8)
A Gift of Love: Sifar,2019,95,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,2010,Drama,Good (6–8)
A Handful of Grain,1959,92,Drama,,,Mehboob Khan,Unknown,Unknown,Unknown,1950,Drama,
A Journey of Samyak Buddha,2013,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,2010,Drama,Good (6–8)
A Mermaid Called Aida,1996,52,Documentary,6.4,7,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,Unknown,1990,Documentary,Good (6–8)
A Mistake (Ek Galti),2021,129,Thriller,,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil,2020,Thriller,
A New Love Ishtory,2013,140,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,2010,Romance,Average (4–6)
A Night in Calcutta,1970,129,Drama,,,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev,1970,Drama,
A Rape Song,2019,75,"Crime, Drama",,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,Unknown,2010,Crime,
A Rifle and a Bag,2020,89,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,Unknown,2020,Documentary,Good (6–8)
A Scandall,2016,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,2010,Thriller,Poor (<4)
A Separate Sky,2021,129,Drama,,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,2020,Drama,
A Sketch Killer: Who's Next,1997,129,Thriller,,,Vinod Alva,Kalyan Kumar,Raghuvaran,Unknown,1990,Thriller,
A Small Family,1976,129,Documentary,,,Fali Bilimoria,Unknown,Unknown,Unknown,1970,Documentary,
A Song for No One,,129,"Comedy, Drama, Music",,,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,Unknown,,Comedy,
A Story of a Call Girl,2000,129,Thriller,,,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri,2000,Thriller,
A Strange Love Story,2011,129,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi,2010,Drama,Poor (<4)
A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,2000,Drama,Poor (<4)
A Suitable Girl,2017,90,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,Unknown,2010,Documentary,Good (6–8)
A Thin Line,2019,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,2010,Drama,Good (6–8)
A Thursday,2021,129,"Drama, Thriller",,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,2020,Drama,
A Treasure in the Snow,2002,129,Documentary,6.9,8,Goutam Ghose,Unknown,Unknown,Unknown,2000,Documentary,Good (6–8)
A Twist of Date,2017,110,"Comedy, Horror, Mystery",,,Kashmera Shah,Kashmera Shah,Unknown,Unknown,2010,Comedy,
A Wednesday,2008,104,"Action, Crime, Drama",8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,2000,Action,Excellent (8–10)
A.R Rahman Encore Tour,2017,129,Musical,,,Deepak Gattani,A.R. Rahman,Unknown,Unknown,2010,Musical,
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,1990,Musical,Average (4–6)
AA BB KK,2018,121,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,2010,Drama,Good (6–8)
Aa Bhi Ja O Piya,2021,140,"Family, Romance",,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,2020,Family,
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,2000,Action,Average (4–6)
Aa Gale Lag Jaa,1994,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,1990,Mystery,Average (4–6)
Aa Gaya Hero,2017,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,2010,Action,Poor (<4)
Aa Jao Please,2016,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,2010,Drama,Good (6–8)
Aaag Hi Aag,1999,129,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha,1990,Action,Average (4–6)
Aabra Ka Daabra,2004,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,2000,Fantasy,Poor (<4)
Aabroo,1943,129,Unknown,5.2,5,Nazir,Unknown,Unknown,Unknown,1940,Unknown,Average (4–6)
Aabshar,1953,129,"Drama, Romance",5.0,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar,1950,Drama,Average (4–6)
Aadab Arz,1943,129,Unknown,5.2,5,V.C. Desai,Nalini Jaywant,Mukesh,Unknown,1940,Unknown,Average (4–6)
